id,product_name,brand_name,review,rating,review_votes
325720,Samsung Galaxy Note 4 N910a 32GB Unlocked GSM 4G LTE Smartphone White,Samsung,your sarvic very good,4,5
38905,"Apple iPhone 5c Factory Unlocked Cellphone, 8GB, Blue",,You will not get a 1 yr Apple warranty with this purchase. My phone stopped working in 6 months with no damage to it. I contacted Apple and was told it was already replaced. I contacted the seller for refund and he just closed my request. Horrible experience. Will never buy from this seller.,1,7
261311,Nokia 6700 Classic Gold Edition Unlocked Cell Cellular Mobile Phone EDGE and GPRS GSM,,"You will need to use it with powder-free exam gloves, but otherwise perfect",5,1
81755,ASUS ZenFone 2 ZE500CL 4G LTE Single-SIM Factory Unlocked International Stock No Warranty (2GB RAM/16GB ROM | GLAMOR RED) - International Version No Warranty,ASUS,You stolen me this is only of 8 gb of rom not 16 gb,1,2
330577,Samsung Galaxy Note II N7100 16GB Gray-Unlocked International Phone,,"You said this was UNLOCKED for ALL carriers!!! This is NOT true. Those who do not KNOW the difference between CDMA and GSM phones, buyer BEWARE. This will ONLY work w/AT&T, T-Mobile, Boost. If you have SPRINT or VERIZON, it will NOT work.....",1,8
327868,Samsung Galaxy Note 4 SM-N910H N910 Factory Unlocked International Model (Frost White),Samsung,You only can get the phone hooked up with straight talk horrible service,1,3
197481,HTC Radar C110E Unlocked GSM Phone - White/Silver,HTC,"You must be lucky with this products,i bought one of these phones for my brother as a gift unluckly when it get to him the headphones dont work in this phone at all, it a bad product be carefull what you spend your money on.",1,1
402763,"UNLOCKED Blackberry Q5 GSM Quad-Band Smartphone, BLACK, SQR100-1 2G GSM 850/900/1800/1900MHZ, 3G UMTS 800/850/1700/1900/2100MHZ, 4G LTE 700/850/1700/1900/2100MHZ",,"you might not take my opinion into consideration. I hate touch screen! I really expected something different, no so complicated to used. I realize that I could have purchase a more convenient phone for half what I paid for this Q5.",1,1
166364,"CNPGD [U.S. Office Extended Warranty] Smartwatch + Unlocked Watch Cell Phone All in 1 Bluetooth Watch for iPhone Android Samsung Galaxy Note,Nexus,htc,Sony Brown",CNPGD,You may run into issues with AT&t: Big brother does not like IMEI numbers it does not have in its database. Unless I am wrong and the phone is broken ( screen becomes unresponsive when you put SIM in ) AT&T may be blocking this phone on their network. Its a disappointment. We had this gadget for our kiddo from another vendor for over a year and it worked fine.,2,1
210860,LG Electronics G3 D855 32GB Unlocked International Phone (International Version No Warranty) - Retail Packaging - Violet,LG Electronics,"You know when you get that exciting feeling that your new phone is coming? Well, didn't last long. First, the box the phone came in (including manual) are all in oriental writing. How am I supposed to know what to do. Second, it shows that it's compatible with LTE...well so far it's either my carrier or just not the right phone. Going to see what my carrier can do today, and if nothing, then I'm sending it back. Don't get me wrong, I really like the phone, just hate the B.S.",3,1
258241,Newest Apple iPhone 4 MD200LL/A 8GB White For Verizon (No Contract) Sealed,,You have to go through an act of Congress to get this phone to work on straight talk.... I wouldn't go through that again if they were giving them away.,1,4
60904,"Apple iPhone 6 Plus, Gold, 16 GB (Sprint)",,You Guys are AWESOME! I order my phone one the 4th and received it on the 8th and it looks legit brand new. I will most definitely be ordering with you guys again. Just AWESOME! literally No scratches! No signs of use!,5,2
216269,LG G2 Mini D620R 8GB 4G LTE Unlocked GSM Android Quad-Core Smartphone - White - International Version No Warranty,,"You get for the Price more tan you should, very fast, smooth, and reliable. Well designed, the knock code function is very useful, the camera its ok, Im former iPhone 4s user and the picture quality its almost the same. Nice speaker sound, resolution is good, the volumen button once you have a week you get used to it, to only thing i miss is a silence button, but for 180 bucks its a great Smartphone.By the way, great battery,Great data transfer rate.Works in Venezuela and Spain,LTE doesn't come by default, you have to entry to the settings to enable it.You get PHONE, BATTERY, EARPHONES, DATA CABLE, PLUG, EUROPEAN CONECTOR CONVERTER TO AMERICAN, MANUAL, mine apparently was a product for the German market but made in korea.",5,4
405415,Verizon LG Accolade VX5600 Camera GPS Cell Phone - New - No Contract Req'd,LG,You couldn't tell this phone from new! The wife just loves it! Easy to use and holds a charge for near a week!,5,1
204975,iPhone 3GS 32 GB - Unlocked,,"You can not use this with iCloud. If that doesn't matter then you will have a good phone. What I like about iPhone, iPod, iPad, is that they sync through iCloud. If you connect this to iTunes it will be useless...maybe a second jail break will be needed!",1,11
1260,5200mAh Long Standby Rugged Mobile Phone with Waterproof Shockproof Dustproof Unlocked Phone for Elderly People Adventurers Army Cellphone(Black),VKworld,You can here it ring but you can't talk on it to low and I don't. Use mind now,4,3
6891,"Apple Iphone 4 - 8gb Sprint (CDMA) White, Smartphone, in box with all the accessories, clean esn!!",,"You are my hero , I love this phone! It was the best graduation gift I could have ever gotten! Shout out to my boyfriend Jacob Wilson for getting this phone for me!<3",5,8
190696,HTC Inspire 4G A9192 Unlocked GSM Android Smartphone - Black,HTC,"Yo siempre he tenido iPhone y tenia miedo del cambio por que no habio oido cosas buenas de Android, indistintamente que marca fuera, por fin me atrievi a comprar uno y no me arrepiento ni por un minuto, es un telefono super abierto, le puede hacer uno las modificaciones que quiera , la musica, videos, fotos etc.En otras palabras el sistema operativo es fantastico, Google ha hecho un buen trabajo, especialmete cuando lo actualice a Android 2.3.3 (Gingerbread) Ahhh ademas el telefono viene totalmente desbloqueado y listo para insertar el (sim card) y me trabaja perfecto con el ICE de Costa Rica, yo tengo el pre-pago de KOLBI y como les digo trabaja super bien.Lo recomiendo de la mejor manera, aun no logro entender por que estaba enamorado del iPhone cuando hay en el mercado telefonos como estos Android a un precio mucho mas bajo con una calidad igual a la de apple.Por cierto para activar los servicios de 3G del ICE KOLBI solo tiene que poner ""kolbi3g"" en el access point y listo... ya tiene internet 3G.Saludos.",5,17
54602,Apple iPhone 6 a1549 64GB Space Gray Unlocked (Certified Refurbished),,"Yesterday my phone arrive, i just turn on and it was perfect, the aspect 10-10, a very nice product, i recomend you ! , i save over 500 dolars instead of buying it in my country colombia, PERFECT",5,9
373012,"Samsung Galaxy S7 Edge SM-G935F 32GB Factory Unlocked GSM Smartphone - International Version, No Warranty (Black Oynx)",,Yes. sick lookin phone. I saw couple of feedback that says fake phone or something fishy. In my case it was all good. And about the phone it's great! Nothing much added to s7 accept hardware improvement. Touch unlock is much much better then s6 generation. Great bettary life something aspect from Samsung. Not dissopointed at all.,5,1
235989,"LG Optimus L9 P769, 4G (T-Mobile)",,"Yes, it was a good buy",5,1
302702,Samsung - Galaxy Young 2 DUOS G130 Unlocked GSM Dual-SIM HSPA+ Phone - White,Samsung,"Yes, it is very small, but that is why I love it. I am not using it with data. I just wanted a smartphone interface and touchscreen. The battery is thus very very long lasting. I am sure it wouldn't be as good if I were to use data regularly. There is no lag or performance issue that I have come across yet.",5,4
203853,"I9220(N9000) 5.0"" Capacitive Android 4.0 Dual SIM Smart Phone With 8GB ROM",Star,Yes the phone is great but it sucks when it turns off all of a sudden & won't turn back on.. i don't know why..,1,6
312297,Samsung Galaxy Grand Prime DUOS G531H/DS - Gold (International Version),Samsung,Yes my wife loves it so far it has worked great.,5,2
